CRASH DATE,ACCIDENT_COUNT,TOTAL_INJURIES
2013-06-24,680,173.0
2013-06-25,648,198.0
2013-06-26,621,141.0
2013-06-27,598,175.0
2013-06-28,608,165.0
2013-06-29,591,184.0
2013-06-30,423,106.0
2013-07-01,633,182.0
2013-07-02,601,139.0
2013-07-03,635,168.0
2013-07-04,438,164.0
2013-07-05,576,203.0
2013-07-06,516,162.0
2013-07-07,475,147.0
2013-07-08,617,127.0
2013-07-09,583,136.0
2013-07-10,614,148.0
2013-07-11,550,161.0
2013-07-12,599,167.0
2013-07-13,575,174.0
2013-07-14,471,146.0
2013-07-15,581,171.0
2013-07-16,582,159.0
2013-07-17,609,163.0
2013-07-18,636,169.0
2013-07-19,697,167.0
2013-07-20,551,187.0
2013-07-21,447,168.0
2013-07-22,591,191.0
2013-07-23,571,164.0
2013-07-24,571,162.0
2013-07-25,507,147.0
2013-07-26,617,182.0
2013-07-27,516,157.0
2013-07-28,485,195.0
2013-07-29,597,146.0
2013-07-30,584,160.0
2013-07-31,553,175.0
2013-08-01,643,175.0
2013-08-02,626,157.0
2013-08-03,492,167.0
2013-08-04,454,155.0
2013-08-05,545,158.0
2013-08-06,543,184.0
2013-08-07,508,101.0
2013-08-08,549,150.0
2013-08-09,579,157.0
2013-08-10,495,159.0
2013-08-11,481,152.0
2013-08-12,519,137.0
2013-08-13,553,135.0
2013-08-14,622,184.0
2013-08-15,599,166.0
2013-08-16,678,204.0
2013-08-17,504,159.0
2013-08-18,442,141.0
2013-08-19,462,136.0
2013-08-20,542,164.0
2013-08-21,562,157.0
2013-08-22,578,153.0
2013-08-23,636,171.0
2013-08-24,527,182.0
2013-08-25,459,133.0
2013-08-26,521,160.0
2013-08-27,507,129.0
2013-08-28,482,123.0
2013-08-29,572,164.0
2013-08-30,599,169.0
2013-08-31,480,169.0
2013-09-01,480,184.0
2013-09-02,431,160.0
2013-09-03,551,162.0
2013-09-04,604,198.0
2013-09-05,493,124.0
2013-09-06,525,164.0
2013-09-07,585,172.0
2013-09-08,500,182.0
2013-09-09,632,199.0
2013-09-10,629,176.0
2013-09-11,576,135.0
2013-09-12,695,186.0
2013-09-13,652,155.0
2013-09-14,519,147.0
2013-09-15,476,164.0
2013-09-16,570,127.0
2013-09-17,627,197.0
2013-09-18,571,161.0
2013-09-19,536,149.0
2013-09-20,631,191.0
2013-09-21,546,184.0
2013-09-22,585,203.0
2013-09-23,661,191.0
2013-09-24,615,184.0
2013-09-25,539,124.0
2013-09-26,516,112.0
2013-09-27,553,147.0
2013-09-28,547,172.0
2013-09-29,506,153.0
2013-09-30,605,191.0
2013-10-01,616,155.0
2013-10-02,647,190.0
2013-10-03,590,150.0
2013-10-04,658,168.0
2013-10-05,497,128.0
2013-10-06,404,124.0
2013-10-07,618,152.0
2013-10-08,574,124.0
2013-10-09,529,140.0
2013-10-10,559,138.0
2013-10-11,621,162.0
2013-10-12,556,158.0
2013-10-13,502,146.0
2013-10-14,440,141.0
2013-10-15,615,184.0
2013-10-16,548,134.0
2013-10-17,574,123.0
2013-10-18,680,192.0
2013-10-19,471,153.0
2013-10-20,490,142.0
2013-10-21,616,191.0
2013-10-22,540,152.0
2013-10-23,558,156.0
2013-10-24,632,170.0
2013-10-25,647,142.0
2013-10-26,626,236.0
2013-10-27,512,149.0
2013-10-28,620,176.0
2013-10-29,600,156.0
2013-10-30,558,155.0
2013-10-31,615,155.0
2013-11-01,710,209.0
2013-11-02,551,168.0
2013-11-03,415,138.0
2013-11-04,658,158.0
2013-11-05,510,136.0
2013-11-06,635,161.0
2013-11-07,646,151.0
2013-11-08,682,155.0
2013-11-09,571,148.0
2013-11-10,474,103.0
2013-11-11,456,114.0
2013-11-12,647,151.0
2013-11-13,593,168.0
2013-11-14,620,161.0
2013-11-15,617,182.0
2013-11-16,612,170.0
2013-11-17,533,187.0
2013-11-18,611,169.0
2013-11-19,600,155.0
2013-11-20,607,147.0
2013-11-21,628,152.0
2013-11-22,702,156.0
2013-11-23,536,185.0
2013-11-24,494,124.0
2013-11-25,710,165.0
2013-11-26,867,243.0
2013-11-27,742,214.0
2013-11-28,429,124.0
2013-11-29,437,86.0
2013-11-30,479,125.0
2013-12-01,420,115.0
2013-12-02,549,148.0
2013-12-03,553,135.0
2013-12-04,520,142.0
2013-12-05,573,157.0
2013-12-06,759,202.0
2013-12-07,567,166.0
2013-12-08,456,134.0
2013-12-09,639,144.0
2013-12-10,539,135.0
2013-12-11,605,166.0
2013-12-12,648,142.0
2013-12-13,695,161.0
2013-12-14,690,140.0
2013-12-15,450,102.0
2013-12-16,640,133.0
2013-12-17,703,144.0
2013-12-18,701,123.0
2013-12-19,607,153.0
2013-12-20,674,164.0
2013-12-21,595,168.0
2013-12-22,505,168.0
2013-12-23,707,155.0
2013-12-24,515,135.0
2013-12-25,257,80.0
2013-12-26,428,100.0
2013-12-27,476,106.0
2013-12-28,475,121.0
2013-12-29,394,107.0
2013-12-30,476,117.0
2013-12-31,465,122.0
2014-01-01,399,165.0
2014-01-02,603,121.0
2014-01-03,423,46.0
2014-01-04,418,91.0
2014-01-05,320,63.0
2014-01-06,518,111.0
2014-01-07,491,119.0
2014-01-08,616,155.0
2014-01-09,561,100.0
2014-01-10,667,191.0
2014-01-11,465,157.0
2014-01-12,388,96.0
2014-01-13,568,164.0
2014-01-14,559,186.0
2014-01-15,583,118.0
2014-01-16,521,141.0
2014-01-17,589,139.0
2014-01-18,448,130.0
2014-01-19,380,134.0
2014-01-20,360,72.0
2014-01-21,1161,168.0
2014-01-22,498,76.0
2014-01-23,612,113.0
2014-01-24,705,167.0
2014-01-25,475,110.0
2014-01-26,465,129.0
2014-01-27,511,104.0
2014-01-28,504,125.0
2014-01-29,649,167.0
2014-01-30,657,157.0
2014-01-31,560,106.0
2014-02-01,507,150.0
2014-02-02,417,114.0
2014-02-03,960,159.0
2014-02-04,613,130.0
2014-02-05,468,53.0
2014-02-06,569,92.0
2014-02-07,675,116.0
2014-02-08,424,74.0
2014-02-09,450,87.0
2014-02-10,678,143.0
2014-02-11,636,110.0
2014-02-12,640,112.0
2014-02-13,447,86.0
2014-02-14,792,115.0
2014-02-15,516,79.0
2014-02-16,464,72.0
2014-02-17,491,94.0
2014-02-18,518,111.0
2014-02-19,552,110.0
2014-02-20,556,90.0
2014-02-21,545,120.0
2014-02-22,587,140.0
2014-02-23,414,141.0
2014-02-24,569,121.0
2014-02-25,513,93.0
2014-02-26,511,114.0
2014-02-27,571,128.0
2014-02-28,655,152.0
