,0
603,251.4441
604,248.75987
605,250.30258
606,255.96912
607,258.00565
608,256.0832
609,268.8739
610,258.19568
611,252.96887
612,242.02731
613,248.5395
614,255.76096
615,255.7142
616,260.06058
617,257.7182
618,251.60786
619,252.4274
620,260.17975
621,257.1257
622,259.3676
623,261.8445
624,262.85443
625,258.62134
626,255.7193
627,254.91669
628,252.8278
629,250.81703
630,258.10938
631,261.21207
632,256.71683
633,252.16168
634,254.35295
635,247.15619
636,259.29053
637,264.26376
638,259.85464
639,255.73233
640,259.23578
641,255.21051
642,260.8567
643,261.6495
644,267.7035
645,253.35516
646,252.51324
647,251.2226
648,251.32841
649,252.18108
650,242.54329
651,246.3593
652,240.44136
653,235.17067
654,238.21022
655,243.21527
656,242.84868
657,247.42076
658,246.55214
659,247.80069
660,243.81607
661,248.26953
662,250.3644
663,250.91707
664,247.70872
665,245.98611
666,244.16357
667,241.63301
668,238.65852
669,237.54568
670,231.00136
671,237.38332
672,243.88203
673,241.31012
674,241.22203
675,239.82027
676,242.57248
677,242.09924
678,242.77701
679,245.73196
680,249.92595
681,244.2563
682,239.82224
683,245.7532
684,240.89291
685,240.16306
686,242.42047
687,250.2531
688,247.15707
689,244.99696
690,243.82822
691,243.91402
692,241.87366
693,249.27986
694,244.03937
695,248.76802
696,244.24873
697,244.50911
698,242.5134
699,239.32294
700,241.70131
701,240.94073
702,239.99663
703,239.6006
704,238.25346
705,242.73166
706,239.08125
707,247.77264
708,244.37053
709,242.80632
710,241.44055
711,240.13806
712,245.71576
713,250.74828
714,250.1469
715,245.78444
716,240.31264
717,249.76874
718,256.38574
719,259.28473
720,255.0758
721,269.8355
722,266.52722
723,261.31467
724,266.3851
725,257.84634
726,252.96747
727,257.35696
728,256.42816
729,253.63042
730,249.54773
731,251.17253
732,250.0948
733,242.66852
734,246.33151
735,249.19089
736,250.12965
737,252.41505
738,250.47118
739,246.45337
740,235.93118
741,235.32509
742,239.42787
743,249.09854
744,246.3097
745,244.09413
746,246.3008
747,250.70312
748,259.4183
749,262.30984
750,253.83565
751,245.13097
752,238.06006
753,248.46402
754,255.37001
755,252.78265
756,248.05139
757,246.18466
758,244.45091
759,246.35454
760,246.63863
761,248.47858
762,245.87177
763,251.3943
764,248.67033
765,247.00763
766,254.61078
767,249.6736
768,241.66933
769,251.00992
770,254.26309
771,246.72963
772,245.962
773,243.35309
774,239.52759
775,249.3598
776,244.39514
777,251.06537
778,248.65799
779,244.93776
780,237.14037
781,243.78664
782,241.23456
783,240.51883
784,243.80151
785,241.82825
786,237.04955
787,247.931
788,247.42235
789,246.81493
790,261.84464
791,268.9618
792,254.93857
793,246.54686
794,244.37212
795,246.97665
796,249.81937
797,240.53702
798,233.51698
799,228.98854
800,223.85484
801,235.1458
802,239.54305
803,245.10553
804,247.0089
805,248.3098
806,240.3122
807,237.03384
808,246.2524
809,245.54195
810,251.29846
811,253.80106
812,261.48105
813,252.17987
814,243.72202
815,259.83264
816,259.63364
817,260.4634
818,258.5802
819,257.04977
820,259.24823
821,242.29749
822,239.03973
823,236.91982
824,223.6886
825,227.39008
826,227.2583
827,232.2346
828,230.37448
829,233.58656
830,235.04353
831,227.76402
832,226.32309
833,226.64865
834,219.82704
835,216.06369
836,221.37216
837,217.30862
