Actual_ACCIDENT_COUNT,LSTM_ACCIDENT_COUNT,GRU_ACCIDENT_COUNT
301.0,269.31238,278.48755
346.0,270.65857,281.4539
292.0,273.78918,288.98267
300.0,275.95926,287.01202
298.0,277.89172,288.76437
267.0,279.58316,289.93192
289.0,280.1415,287.24915
370.00003,280.88434,289.02985
298.0,284.12778,299.7113
290.0,286.1602,296.4615
265.0,287.41583,295.81036
286.00003,287.4612,292.71237
330.00003,287.5592,293.76218
320.0,289.11447,299.20502
313.0,290.90466,300.6569
300.0,292.5542,301.45782
284.0,293.745,300.9644
286.00003,294.17352,299.20953
270.0,294.23187,298.68738
274.0,293.59933,296.12292
296.0,292.80988,295.0166
296.0,292.58905,296.53937
300.0,292.67194,296.79187
267.0,293.06076,297.44205
250.0,292.47534,293.71445
286.00003,290.93417,289.81476
266.0,290.19415,291.6677
335.0,289.093,289.1155
312.0,290.19308,296.23462
216.0,291.44275,296.5546
256.0,289.66122,285.8362
253.0,287.96408,285.85068
268.00003,286.1515,283.7958
259.0,284.81888,283.75778
233.0,283.42465,281.80573
287.0,281.25323,277.1647
291.0,280.5421,280.87146
251.0,280.6058,282.22925
289.0,279.75366,278.20746
274.0,279.8015,281.18637
289.0,279.6685,280.37363
284.0,280.05496,282.15402
310.00003,280.48825,282.5064
270.0,281.74557,286.28455
315.0,282.0662,283.5694
261.0,283.41138,288.56757
280.0,283.3748,284.37527
268.00003,283.37158,285.41458
231.0,282.9984,284.08377
255.0,281.23404,278.77966
285.0,279.64212,278.6683
288.00003,279.14746,281.15982
289.0,279.21243,282.25177
272.0,279.67294,283.14594
241.0,279.68155,281.82733
263.0,278.5147,277.64438
266.0,277.61154,278.10638
230.0,276.89517,277.90695
245.0,275.1337,273.0435
274.0,273.43222,272.12778
229.0,272.68256,274.2031
278.0,270.92902,269.1139
263.0,270.37775,272.54556
269.0,269.9297,271.6384
245.0,269.75555,272.16797
242.0,268.94547,269.4796
264.0,267.8221,267.8137
276.0,267.23257,269.196
281.0,267.19693,270.8854
283.0,267.71298,272.43433
272.0,268.52585,273.85928
251.0,269.1325,273.75076
284.0,268.9264,271.6236
311.0,269.3807,274.7836
246.0,270.97977,279.4855
228.0,270.97537,274.39737
283.0,269.743,270.57587
323.0,269.71228,274.87122
282.0,271.43448,281.12445
249.0,272.63358,279.7125
249.0,272.57092,276.22403
301.0,271.9045,274.75848
269.0,272.6167,279.92465
242.0,272.85327,278.17276
287.0,272.10257,274.61356
270.0,272.37134,278.28003
256.0,272.4396,277.43802
261.0,272.04977,275.62878
280.0,271.54547,275.2878
255.0,271.6591,277.11725
261.0,271.3232,274.7844
272.0,270.92764,274.52975
261.0,270.87192,275.4272
268.00003,270.59512,274.34958
245.0,270.48813,274.7232
240.0,269.73077,271.9271
261.0,268.48383,269.82733
291.0,267.72882,270.7665
275.00003,268.2056,274.31372
301.0,268.66373,274.10562
273.0,270.03033,277.83804
270.0,270.83344,276.65332
254.0,271.31406,276.53003
261.0,271.06305,274.68152
202.0,270.7562,274.6318
296.0,268.43158,266.9772
273.0,268.38937,274.29266
261.0,268.48618,273.7722
254.0,268.38223,272.66116
231.0,268.01407,271.42157
222.0,266.7419,267.8498
236.0,264.78366,264.58194
244.0,263.00522,263.75363
253.0,261.59238,263.28366
