CRASH DATE,CRASH_COUNT,is_weekend,month,is_holiday,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED
2014-02-05,468,0,2,0,53.0,0.0
2014-02-06,569,0,2,0,92.0,0.0
2014-02-07,675,0,2,0,116.0,1.0
2014-02-08,424,1,2,0,74.0,0.0
2014-02-09,450,1,2,0,87.0,1.0
2014-02-10,678,0,2,0,143.0,0.0
2014-02-11,636,0,2,0,110.0,1.0
2014-02-12,640,0,2,0,112.0,1.0
2014-02-13,447,0,2,0,86.0,1.0
2014-02-14,792,0,2,0,115.0,0.0
2014-02-15,516,1,2,0,79.0,0.0
2014-02-16,464,1,2,0,72.0,0.0
2014-02-17,491,0,2,0,94.0,0.0
2014-02-18,518,0,2,0,111.0,2.0
2014-02-19,552,0,2,0,110.0,0.0
2014-02-20,556,0,2,0,90.0,1.0
