Actual_ACCIDENT_COUNT,Predicted_ACCIDENT_COUNT
233.0,263.29263
287.0,261.38806
291.0,261.87674
251.0,266.1096
289.0,267.9946
274.0,268.42648
289.0,268.4804
284.0,268.4553
310.00003,269.20987
270.0,272.2487
315.0,274.44598
261.0,277.26532
280.0,277.86224
268.00003,275.86072
231.0,273.14444
255.0,267.6675
285.0,262.39047
288.00003,261.59604
289.0,265.08084
272.0,269.97525
241.0,273.14246
263.0,270.87146
266.0,265.845
230.0,261.79193
245.0,257.54883
274.0,253.8957
229.0,254.02864
278.0,254.6556
263.0,255.60104
269.0,257.55975
245.0,258.71942
242.0,258.02136
264.0,254.97128
276.0,252.80145
281.0,253.80608
283.0,256.98203
272.0,261.302
251.0,264.5722
284.0,264.56393
311.0,263.71234
246.0,265.97156
228.0,267.1521
283.0,263.74225
323.0,261.3914
282.0,265.17346
249.0,270.95065
249.0,272.591
301.0,269.94843
269.0,268.42227
242.0,268.41245
287.0,266.39728
270.0,265.7527
256.0,267.2473
261.0,267.53406
280.0,266.92828
255.0,266.8893
261.0,266.2194
272.0,264.7831
261.0,264.22525
268.00003,264.12897
245.0,264.13852
240.0,263.1051
261.0,260.4306
291.0,258.32022
275.00003,259.50262
301.0,262.96228
273.0,267.5595
270.0,271.36282
254.0,271.93756
261.0,269.587
202.0,265.88486
296.0,259.97876
273.0,257.06622
261.0,259.9893
254.0,263.28534
231.0,264.90143
222.0,263.0362
236.0,257.6876
244.0,252.01483
253.0,248.75331
249.0,248.47778
233.0,250.0265
223.0,250.97943
258.0,249.53508
311.0,247.77394
289.0,250.43634
283.0,256.51758
259.0,261.66666
265.0,263.9522
285.0,262.9947
292.0,262.14413
306.00003,263.28876
260.0,267.16705
269.0,270.2207
242.0,270.57413
294.0,268.1549
280.0,266.4777
260.0,267.45486
305.0,267.97824
273.0,270.38858
289.0,273.38544
213.0,274.99353
280.0,271.557
285.0,266.87253
286.00003,266.29218
284.0,268.27237
284.0,271.58417
257.0,274.78812
279.0,275.24908
236.0,273.63782
272.0,269.57504
294.0,265.7351
306.00003,266.20724
318.0,270.88162
247.99998,278.45352
245.0,280.8267
276.0,277.52466
313.0,272.01297
284.0,270.90717
290.0,273.04785
