Actual_ACCIDENT_COUNT,LSTM_ACCIDENT_COUNT,GRU_ACCIDENT_COUNT
249.0,263.35638,270.71976
301.0,285.7423,266.5215
269.0,297.06393,278.48233
242.0,293.01138,281.03204
287.0,276.72906,293.3564
270.0,257.251,271.64777
256.0,246.1012,246.94026
261.0,260.29773,265.86133
280.0,282.87607,264.3837
255.0,293.4627,272.82187
261.0,288.25067,273.90115
272.0,272.45117,295.07285
261.0,252.57663,266.41882
268.00003,240.78017,243.62973
245.0,255.14435,265.4208
240.0,276.84888,258.36548
261.0,284.67538,256.19946
291.0,278.80365,264.02023
275.00003,265.27823,294.12622
301.0,247.80196,264.71014
273.0,240.23697,256.20947
270.0,257.56686,275.73392
254.0,282.42743,273.72266
261.0,292.65158,270.87314
202.0,287.5934,276.15295
296.0,268.77576,276.60306
273.0,248.80663,263.3992
261.0,238.09024,241.44025
254.0,252.92203,260.2504
231.0,275.52054,257.09607
222.0,283.5156,252.56665
236.0,275.63147,250.36543
244.0,258.03784,269.1786
253.0,236.98303,240.04341
249.0,225.37651,225.9036
233.0,239.1534,243.67165
223.0,260.1361,238.21814
258.0,267.65097,237.66809
311.0,262.72864,249.22853
289.0,252.20345,288.5829
283.0,238.48013,268.87405
259.0,232.61523,254.88704
265.0,249.7495,272.6646
285.0,273.82504,269.32492
292.0,285.5004,276.44696
306.00003,283.4194,287.7609
260.0,272.4203,316.075
269.0,254.77684,273.5738
242.0,244.47537,255.17252
294.0,257.94666,270.23212
280.0,281.59787,275.83493
260.0,292.5054,277.52573
305.0,287.78357,277.07538
273.0,274.8532,310.09277
289.0,256.66342,272.2909
213.0,247.14682,258.3348
280.0,259.56482,263.84103
285.0,281.74768,269.33466
286.00003,292.00882,275.30798
284.0,288.44235,282.3859
284.0,275.04874,305.19534
257.0,257.1712,275.2875
279.0,246.02882,249.81201
236.0,261.2265,277.88797
272.0,282.6755,266.63947
294.0,291.6235,271.31198
306.00003,287.6877,282.97888
318.0,275.37817,310.99612
247.99998,260.05444,287.62262
245.0,249.80244,252.12799
276.0,263.50748,275.89804
313.0,285.96597,275.13776
284.0,297.37775,287.39423
290.0,293.66016,290.27127
307.0,279.7576,313.6575
270.0,262.18497,286.63904
225.0,251.34967,259.30673
195.0,263.36615,271.54898
282.0,280.17215,254.30688
281.0,286.66818,268.42328
274.0,280.7322,274.92368
311.0,265.89813,294.5437
282.0,249.34753,276.82532
285.0,240.95772,257.32022
292.0,258.19583,284.61935
273.0,283.9896,285.79077
252.0,295.4429,282.5681
315.0,290.11783,279.81967
340.0,276.95764,316.07852
285.0,261.99332,293.9701
263.0,253.73187,264.32666
283.0,269.4828,286.24927
262.0,293.56592,286.2819
292.0,302.6661,280.3745
299.00003,297.62262,290.21307
280.0,283.19952,314.40186
355.0,263.6525,275.66034
247.99998,256.37515,281.4366
283.0,272.08783,286.572
274.0,296.21054,287.49246
257.0,305.89243,284.73422
232.0,299.03372,285.10184
296.0,279.314,293.06082
239.0,257.37985,271.22528
238.0,242.27719,239.48003
278.0,252.51208,258.89478
238.0,273.18686,263.13422
267.0,279.97336,256.3617
242.0,273.7082,263.82898
217.00002,257.23715,276.85596
297.00003,235.06932,235.9984
233.0,224.77861,245.89221
306.00003,238.05966,253.78249
266.0,262.3545,265.89615
273.0,273.68066,264.93542
281.0,270.99844,270.5591
327.0,258.99567,294.899
282.0,245.25467,280.72855
276.0,238.54463,258.5084
316.0,255.8988,283.7859
360.0,282.79056,291.20642
295.0,299.7756,308.3206
197.00002,299.86926,302.811
222.0,282.34027,290.89542
211.0,257.3239,251.33533
209.0,238.67415,225.45773
265.0,245.113,239.78398
229.0,262.90576,245.61224
239.0,268.16187,241.58887
271.0,260.4131,242.06778
330.00003,245.80644,270.82184
261.0,231.96918,269.06558
260.0,224.89917,245.29097
271.0,241.04187,269.21518
260.0,264.47467,267.90073
222.0,274.2174,266.42245
269.0,267.22305,256.89902
276.0,251.86324,284.54047
273.0,233.66469,255.48737
216.0,224.30931,244.78905
295.0,236.7701,253.45999
313.0,259.53857,264.6803
264.0,272.39847,277.90594
279.0,270.04904,271.64142
309.0,257.97647,295.64706
239.0,243.04732,275.70496
239.0,233.09825,244.14404
297.00003,246.14389,266.60193
271.0,269.18225,274.99225
283.0,279.2001,272.43674
284.0,275.58344,277.42044
323.0,262.5919,298.88638
218.00002,247.55305,280.65268
216.0,236.10182,239.19617
155.0,246.90604,259.64188
188.0,260.49738,234.14336
234.0,260.36758,229.82492
272.0,249.2041,236.84128
263.0,233.2528,264.9937
228.0,215.81964,238.88841
186.00002,205.9698,224.06256
247.0,216.81116,232.72488
257.0,235.43973,225.60992
239.0,246.53004,246.89426
220.0,247.02876,233.01791
252.0,238.44965,243.39821
234.0,226.51736,235.8038
182.0,221.4391,215.02908
236.99998,235.71516,235.12933
279.0,257.20502,243.6672
231.0,268.7325,255.38495
290.0,264.81668,251.15631
299.00003,253.40141,278.3202
256.0,239.19765,262.558
219.0,231.60788,231.88663
198.0,245.51881,255.84052
276.0,264.0904,252.08125
255.0,272.86334,261.6047
226.0,268.09247,262.73975
252.0,252.31229,269.75775
210.0,232.94948,243.29503
233.0,220.13177,204.84755
244.0,231.99333,229.76215
225.0,252.44633,235.42746
260.0,260.45544,236.14565
252.0,256.46933,244.17296
267.0,243.59384,261.59775
243.0,227.55685,244.05124
251.0,218.97958,217.63373
257.0,234.37288,246.93079
205.0,257.54294,254.68239
245.0,265.69147,248.33488
221.0,260.41946,253.28593
255.0,244.7619,264.67102
242.0,226.13301,240.78433
242.0,215.84424,212.26295
258.0,229.73405,235.1018
253.0,252.16742,241.74977
247.99998,262.94485,247.05157
245.0,259.82806,251.38521
290.0,246.83475,267.79977
196.00002,231.7432,254.12839
188.0,220.94814,211.44221
247.99998,231.41115,229.26971
182.0,251.09264,236.51418
291.0,256.31137,227.80673
244.0,252.68965,246.55354
282.0,240.09862,261.11203
252.0,225.50488,248.81284
213.0,218.61757,224.54454
174.0,233.02951,244.93614
231.0,250.91234,236.97296
213.0,257.59036,241.11261
236.0,250.42859,237.60484
219.0,235.32002,253.50337
212.0,216.21388,223.2178
236.99998,205.05017,196.76685
238.0,218.49554,221.0617
274.0,239.8851,225.88667
204.0,252.05417,241.01648
253.0,248.30975,236.89272
309.0,236.32387,261.36697
235.0,223.86815,260.6864
228.0,217.29312,229.36421
252.0,232.45528,250.16312
261.0,255.03664,253.05533
282.0,266.0453,259.41437
224.0,264.71918,272.74915
312.0,251.32913,280.16052
271.0,236.8652,271.8944
228.0,230.26562,243.58003
261.0,245.57158,260.85147
268.00003,268.79156,264.8131
247.99998,279.92224,269.38602
277.00003,275.83127,271.27487
276.0,262.808,294.48254
261.0,245.77888,268.54724
250.0,236.42365,239.88524
258.0,251.29709,262.01517
201.0,274.1594,264.02396
246.0,280.95914,253.01558
247.99998,273.9635,258.50452
242.0,257.75735,274.2661
230.0,237.45332,244.3554
279.0,225.08794,216.18217
287.0,240.0866,245.30391
241.0,265.09088,253.94858
200.0,276.2344,254.05481
269.0,269.78223,247.49171
230.0,255.33905,274.60025
252.0,235.59555,241.83755
236.0,224.84561,221.79001
223.0,238.34012,240.15642
264.0,258.78397,239.4717
252.0,268.51715,248.10385
254.0,264.55618,255.37749
232.0,251.20056,275.41595
224.0,232.49228,245.25491
244.0,220.97531,219.06783
241.0,234.38689,240.1137
289.0,255.70898,239.84795
230.0,267.74142,254.95271
230.0,264.28476,253.6582
293.0,250.10622,269.6389
226.0,234.39502,259.5892
236.99998,224.85289,225.77773
279.0,239.0337,247.1314
257.0,262.84897,254.75291
245.0,274.20605,258.6418
232.0,270.61105,262.29263
267.0,255.90941,276.2849
263.0,237.98746,255.8757
227.00002,228.83136,233.59628
206.00002,242.73767,248.21686
170.0,262.195,240.87251
225.0,265.85666,228.53123
251.0,256.95746,233.36465
249.0,241.27573,255.21754
197.00002,223.1964,233.52675
210.0,211.5725,203.40425
247.0,223.30476,220.01944
196.00002,244.14119,224.78633
257.0,251.41748,222.38368
252.0,247.80536,240.36469
265.0,236.00577,263.92014
235.0,221.2469,249.0985
250.0,213.51535,226.93965
269.0,229.5155,248.97906
281.0,253.88065,253.02333
258.0,267.34048,263.83432
255.0,266.23996,270.2987
283.0,254.66307,290.09778
250.0,239.5747,270.60773
275.00003,231.2503,241.16165
267.0,248.17746,267.58734
268.00003,272.83948,267.75027
277.00003,284.63657,270.91812
259.0,282.29153,280.31125
252.0,268.9041,297.1487
265.0,249.89603,264.50592
247.99998,239.25806,241.80138
265.0,253.30905,259.29263
291.0,276.13864,260.6884
283.0,287.99316,270.1872
262.0,285.889,279.06192
336.0,272.5961,296.93216
241.0,258.0211,289.732
240.0,248.26982,247.60313
193.0,262.17554,269.39084
266.0,280.4964,255.37244
291.0,287.66837,263.01462
266.0,283.10587,275.69327
289.0,268.85223,293.49765
262.0,251.52527,272.93024
234.0,241.8854,248.31032
256.0,255.60373,262.83917
298.0,277.41583,261.01645
259.0,288.67557,272.93567
279.0,284.60464,275.2015
285.0,271.0415,300.68405
282.0,253.58147,275.30817
256.0,244.6065,253.6307
251.0,260.08157,271.89285
257.0,282.8074,268.0421
249.0,292.08215,268.5169
245.0,286.01288,270.48242
293.0,269.283,286.13004
288.00003,250.56479,267.191
252.0,241.50255,247.7533
239.0,256.90497,264.1123
265.0,279.02576,259.06378
220.0,288.6402,264.0412
311.0,281.4289,258.3211
303.0,268.05963,297.8348
261.0,252.10046,275.4343
252.0,243.11424,246.94441
281.0,258.37338,268.2042
249.0,282.71997,272.11813
289.0,292.59845,268.94537
279.0,289.1401,282.7321
309.0,275.67273,304.22113
212.0,259.27737,284.37827
249.0,246.66519,237.49426
247.0,259.37323,263.1075
252.0,280.32336,261.16483
258.0,288.2296,260.83
203.0,281.92477,267.47403
254.0,262.89322,270.73544
212.0,241.01256,247.435
201.0,226.34526,215.95227
238.0,235.53929,225.44858
259.0,254.13109,225.59073
241.0,262.76663,237.21027
267.0,258.19608,241.50665
247.0,245.95987,271.11224
255.0,229.40749,246.80827
230.0,221.24004,233.86844
268.00003,235.94492,248.05704
266.0,259.3823,251.95944
261.0,270.99512,258.95667
241.0,268.60593,266.27548
239.0,255.2888,282.29123
238.0,236.72536,251.49092
231.0,225.75607,229.7324
222.0,238.70189,244.51256
226.0,258.47247,237.607
194.0,265.58154,238.53146
253.0,257.1057,231.11603
274.0,241.70673,259.82956
238.0,225.05148,243.3701
245.0,216.31157,222.11859
234.0,231.65552,242.07135
255.0,253.7066,238.42267
244.0,264.15186,247.13417
249.0,260.59506,252.47333
264.0,247.75232,277.97333
276.0,231.28825,256.3702
231.0,223.82036,243.8356
220.0,238.67216,253.38986
268.00003,259.16165,243.8085
224.0,268.73447,254.84549
235.0,263.0125,251.4701
251.0,247.6698,270.11804
290.0,229.12689,245.08984
247.0,221.56024,240.69608
242.0,237.63275,252.96936
241.0,260.38275,248.5517
247.0,269.90723,250.42564
236.0,265.3701,256.51483
285.0,250.64258,272.8211
232.0,234.06738,257.47043
273.0,224.19572,229.12778
233.0,240.14287,256.61136
247.0,262.28912,248.42386
235.0,271.66656,251.93985
223.0,266.25726,253.41736
246.0,250.21664,267.18335
236.99998,230.78381,241.96158
235.0,219.66493,222.78947
235.0,232.86938,238.59348
229.0,253.60445,234.88893
259.0,261.69122,237.01312
225.0,257.62418,248.72002
285.0,243.30113,262.09702
239.0,227.59833,252.29552
239.0,219.13573,229.03288
236.99998,234.1527,248.9812
233.0,255.75398,242.48048
269.0,264.06055,244.22134
282.0,260.1329,259.28763
260.0,248.517,287.4359
235.0,232.4885,257.36078
217.00002,222.96463,235.2561
291.0,235.7283,247.94133
299.00003,258.97815,257.42645
292.0,272.08594,270.3635
257.0,272.09937,280.5387
347.0,260.68082,296.12766
285.0,248.52084,293.83813
264.0,243.05917,264.7785
304.0,260.6977,285.53793
245.0,287.293,290.69577
241.0,297.54477,278.9901
282.0,290.7721,277.03464
265.0,274.92688,304.1766
251.0,254.47797,264.74847
236.99998,241.63078,240.61696
259.0,253.53325,256.92203
249.0,274.45297,256.50482
210.0,282.36548,256.51773
254.0,273.78882,247.18143
262.0,256.84464,273.55392
257.0,237.19743,247.12556
268.00003,226.5636,232.08873
247.99998,241.8585,255.68896
230.0,264.43173,250.92854
182.0,272.94983,250.18712
213.0,263.58856,237.19594
244.0,244.33989,255.8315
289.0,222.9737,231.20593
242.0,213.70227,232.66557
234.0,228.36684,242.48775
252.0,249.72546,236.38445
273.0,259.30325,244.31653
308.00003,256.7666,257.4571
296.0,247.68164,293.28748
236.99998,235.1503,270.60883
215.0,227.58055,242.78181
202.0,241.10733,257.02917
287.0,259.39487,243.95117
298.0,268.29794,262.32666
259.0,266.11447,275.60452
236.99998,253.87202,289.22156
242.0,235.71805,253.12814
239.0,224.90532,237.79033
256.0,238.04224,255.70769
252.0,259.45673,254.46967
262.0,268.50708,256.31934
241.0,264.383,262.3362
278.0,250.05528,276.56522
247.0,233.16612,256.7301
245.0,223.68312,235.95763
293.0,238.03995,255.4975
243.0,262.30225,263.2742
210.0,272.468,258.08243
288.00003,265.77347,249.08655
277.00003,252.23885,286.56174
